SKU,Type,Item Name,Invoice Type,Quantity,Gross Amount,Discounts,Net Amount,Taxes,Avg Gross Amount,Avg Discounts,Avg Net Amount,Materials Cost,Avg Materials Cost,Supplies Cost,Avg Supplies Cost,Gross Margin,Item Tax Code,Nature of Item,Category,Subcategory,Item Tags,Item Brand,Account Name,Item Group Name,Variant(s),Measuring Unit,Level Hierarchy 1
107OM,Option,Chocolate Truffle (1/2 Kg),Sale,1,0,0,0,0,0,0,0,0,0,0,0,,19059010,Goods,Online Menu,Premium Cakes,,,,Chocolate Truffle,1/2 Kg,ea,
107SP,Item,Chocolate Truffle (Special cake 1/2 kg),Sale,3,1585.71,-26.43,1559.28,77.97,528.57,-8.81,519.76,0,0,0,0,100%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Chocolate Truffle,Special cake 1/2 kg,ea,
108,Item,Chocolate Butterscotch (1/2 Kg),Sale,4,1733.32,0,1733.32,86.68,433.33,0,433.33,520.3,130.08,0,0,69.98%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Chocolate Butterscotch,1/2 Kg,ea,
108SP,Item,Chocolate Butterscotch (Special cake 1/2 kg),Sale,1,528.57,0,528.57,26.43,528.57,0,528.57,0,0,0,0,100%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Chocolate Butterscotch,Special cake 1/2 kg,ea,
109,Item,Wonder Chocolate (1/2 Kg),Sale,3,1285.71,0,1285.71,64.29,428.57,0,428.57,0,0,0,0,100%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Wonder Chocolate,1/2 Kg,ea,
10EL,Item,Eggless Celebration (1 Pcs),Sale,1,85.71,0,85.71,4.29,85.71,0,85.71,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Celebration,1 Pcs,ea,
110,Item,Celebration (1/2 Kg),Sale,2,942.86,0,942.86,47.14,471.43,0,471.43,319.37,159.69,0,0,66.13%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Celebration,1/2 Kg,ea,
113,Item,Pure Chocolate (1/2 Kg),Sale,7,2733.36,0,2733.36,136.64,390.48,0,390.48,648.16,92.59,0,0,76.29%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Pure Chocolate,1/2 Kg,ea,
114,Item,ButterScotch (1/2 Kg),Sale,6,2285.7,0,2285.7,114.3,380.95,0,380.95,160.5,26.75,0,0,92.98%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,ButterScotch,1/2 Kg,ea,
114EL,Item,Eggless Butterscotch (1/2 Kg),Return,-1,-404.76,0,-404.76,-20.24,404.76,0,404.76,-45.08,45.08,0,0,88.86%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Butterscotch,1/2 Kg,ea,
114EL,Item,Eggless Butterscotch (1/2 Kg),Sale,7,2930.46,0,2930.46,146.53,418.64,0,418.64,315.56,45.08,0,0,89.23%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Butterscotch,1/2 Kg,ea,
114ELSP,Item,Eggless Butterscotch (Special cake 1/2 kg),Sale,1,500,0,500,25,500,0,500,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Butterscotch,Special cake 1/2 kg,ea,
114EOM,Item,Eggless Butterscotch (1/2 Kg),Sale,1,404.76,0,404.76,20.24,404.76,0,404.76,292.44,292.44,0,0,27.75%,19059010,Goods,Online Menu,,"Vegetarian,Dessert",,,Eggless Butterscotch,1/2 Kg,ea,
115,Item,Galaxy (1/2 Kg),Sale,3,1299.99,0,1299.99,65.01,433.33,0,433.33,545.26,181.75,0,0,58.06%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Galaxy,1/2 Kg,ea,
115EL,Item,Eggless Galaxy (1/2 Kg),Sale,2,914.28,0,914.28,45.72,457.14,0,457.14,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Galaxy,1/2 Kg,ea,
116,Item,Mango Mousse (1/2 Kg),Sale,1,433.33,0,433.33,21.67,433.33,0,433.33,21.46,21.46,0,0,95.05%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Mango Mousse,1/2 Kg,ea,
116OM,Item,Mango Mousse (1/2 Kg),Sale,1,433.33,0,433.33,21.67,433.33,0,433.33,252.54,252.54,0,0,41.72%,19059010,Goods,Online Menu,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Mango Mousse,1/2 Kg,ea,
1181,Item,White Forest (2 Kg),Sale,1,1200,0,1200,60,1200,0,1200,658.84,658.84,0,0,45.10%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,White Forest,2 Kg,ea,
1182,Item,White Forest (2.5 kg),Sale,1,1500,-95.24,1404.76,70.24,1500,-95.24,1404.76,825.23,825.23,0,0,41.25%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,White Forest,2.5 kg,ea,
1183,Item,White Forest (3 Kg),Sale,1,1800,0,1800,90,1800,0,1800,977.19,977.19,0,0,45.71%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,White Forest,3 Kg,ea,
1193,Item,Black Forest (3 Kg),Sale,2,3428.58,0,3428.58,171.42,1714.29,0,1714.29,976.32,488.16,0,0,71.52%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Black Forest,3 Kg,ea,
1197,Item,Black Forest (1.5 Kg),Sale,3,2777.14,0,2777.14,138.86,925.71,0,925.71,0,0,0,0,100%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Black Forest,1.5 Kg,ea,
1198,Item,Black Forest (2 Kg),Sale,4,4571.44,-152.38,4419.06,220.95,1142.86,-38.1,1104.77,2608.44,652.11,0,0,40.97%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Black Forest,2 Kg,ea,
123,Item,Tiramisu (1/2 Kg),Sale,3,1428.57,0,1428.57,71.43,476.19,0,476.19,865.53,288.51,0,0,39.41%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Tiramisu,1/2 Kg,ea,
123EL,Item,Eggless Tiramisu (1/2 Kg),Sale,1,500,0,500,25,500,0,500,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Tiramisu,1/2 Kg,ea,
124,Item,Fruit Truffle (1/2 Kg),Sale,1,537.14,0,537.14,26.86,537.14,0,537.14,264.51,264.51,0,0,50.76%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Fruit Truffle,1/2 Kg,ea,
124EOM,Item,Eggless Fruit Truffle (1/2 Kg),Sale,1,457.14,0,457.14,22.86,457.14,0,457.14,271.12,271.12,0,0,40.69%,19059010,Goods,Online Menu,,"Vegetarian,Dessert",,,Eggless Fruit Truffle,1/2 Kg,ea,
125,Item,Fruit Forest (1/2 Kg),Sale,1,537.14,0,537.14,26.86,537.14,0,537.14,266.87,266.87,0,0,50.32%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Fruit Forest,1/2 Kg,ea,
127,Item,Blueberry (1/2 Kg),Sale,6,2561.92,0,2561.92,128.08,426.99,0,426.99,1238.7,206.45,0,0,51.65%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Blueberry,1/2 Kg,ea,
127EL,Item,Eggless Blueberry (1/2 Kg),Sale,5,2196.2,0,2196.2,109.8,439.24,0,439.24,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Blueberry,1/2 Kg,ea,
127OM,Option,Blueberry (1/2 Kg),Sale,1,0,0,0,0,0,0,0,0,0,0,0,,19059010,Goods,Online Menu,Exotic Fruitz,,,,Blueberry,1/2 Kg,ea,
1284,Item,Opera (2 Kg),Sale,1,1847.62,0,1847.62,92.38,1847.62,0,1847.62,1094.43,1094.43,0,0,40.77%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Opera,2 Kg,ea,
13,Item,Pure Chocolate (1 Pcs),Sale,28,2017.18,0,2017.18,100.83,72.04,0,72.04,854.86,30.53,0,0,57.62%,19059010,Goods,Cakes,Regular Cakes,"Non-vegetarian,Dessert",,,Pure Chocolate,1 Pcs,ea,
130,Item,Triple Queen (1/2 Kg),Sale,8,3771.44,0,3771.44,188.56,471.43,0,471.43,2263.21,282.9,0,0,39.99%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Triple Queen,1/2 Kg,ea,
130EL,Item,Eggless Triple Queen (1/2 Kg),Sale,4,2219.06,0,2219.06,110.94,554.77,0,554.77,351.78,87.95,0,0,84.15%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Triple Queen,1/2 Kg,ea,
130SP,Item,Triple Queen (Special cake 1/2 kg),Sale,2,1133.34,0,1133.34,56.66,566.67,0,566.67,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Triple Queen,Special cake 1/2 kg,ea,
131,Item,Pineapple Tidbits (1/2 Kg),Sale,4,1837.13,0,1837.13,91.87,459.28,0,459.28,794.64,198.66,0,0,56.75%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Pineapple Tidbits,1/2 Kg,ea,
1312,Item,Sponge Cake (1 Pcs (50Gms)),Sale,1,24.76,0,24.76,1.24,24.76,0,24.76,0,0,0,0,100%,19059010,Goods,Dry Items,Dry Cakes,"Non-vegetarian,Dessert",,,Sponge Cake,1 Pcs (50Gms),ea,
131EL,Item,Eggless Pineapple Tidbits (1/2 Kg),Sale,1,457.14,0,457.14,22.86,457.14,0,457.14,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Pineapple Tidbits,1/2 Kg,ea,
131EOM,Item,Eggless Pineapple Tidbits (1/2 Kg),Sale,1,457.14,0,457.14,22.86,457.14,0,457.14,274.6,274.6,0,0,39.93%,19059010,Goods,Online Menu,,"Vegetarian,Dessert",,,Eggless Pineapple Tidbits,1/2 Kg,ea,
1334,Item,Triple Queen (1.5 Kg),Sale,1,1385.71,0,1385.71,69.29,1385.71,0,1385.71,821.59,821.59,0,0,40.71%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Triple Queen,1.5 Kg,ea,
1335,Item,Triple Queen (2 Kg),Sale,1,1847.62,0,1847.62,92.38,1847.62,0,1847.62,1081.69,1081.69,0,0,41.45%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Triple Queen,2 Kg,ea,
137,Add On,Rich Plum Cake (1/2 Kg),Sale,1,366.67,0,366.67,18.33,366.67,0,366.67,260,260,0,0,29.09%,18069010,Goods,Plum Cake,,,,,Rich Plum Cake,1/2 Kg,ea,
137,Item,Rich Plum Cake (1/2 Kg),Sale,107,39233.47,-172.32,39061.15,1953.04,366.67,-1.61,365.06,24470.73,228.7,0,0,37.35%,19059010,Goods,Plum Cake,,"Non-vegetarian,Dessert",,,Rich Plum Cake,1/2 Kg,ea,
14,Item,ButterScotch (1 Pcs),Sale,47,3133.42,0,3133.42,156.68,66.67,0,66.67,1351.2,28.75,0,0,56.88%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,ButterScotch,1 Pcs,ea,
144,Item,Sponge Cake (1/4 kg),Sale,149,18447.69,0,18447.69,922.31,123.81,0,123.81,12133.8,81.43,0,0,34.23%,19059010,Goods,Dry Items,Dry Cakes,"Non-vegetarian,Dessert",,,Sponge Cake,1/4 kg,ea,
1483,Item,Eggless Pineapple Pastry (1.5 Kg),Sale,2,1857.14,0,1857.14,92.86,928.57,0,928.57,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Pineapple Pastry,1.5 Kg,ea,
1485,Item,Eggless Pineapple Pastry (2 Kg),Sale,2,2476.2,-61.9,2414.3,120.72,1238.1,-30.95,1207.15,1322.16,661.08,0,0,45.24%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Pineapple Pastry,2 Kg,ea,
14EL,Item,Eggless Butterscotch (1 Pcs),Sale,36,2605.76,0,2605.76,130.25,72.38,0,72.38,1086.87,30.19,0,0,58.29%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Butterscotch,1 Pcs,ea,
14EOM,Item,Eggless Butterscotch (1 Pcs),Sale,3,214.29,0,214.29,10.71,71.43,0,71.43,118.96,39.65,0,0,44.49%,19059010,Goods,Online Menu,,"Vegetarian,Dessert",,,Eggless Butterscotch,1 Pcs,ea,
15,Item,Galaxy (1 Pcs),Sale,42,3199.98,0,3199.98,160.02,76.19,0,76.19,1454.13,34.62,0,0,54.56%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Galaxy,1 Pcs,ea,
150,Item,Blueberry Mousse Cheese (1/2 Kg),Sale,1,533.33,0,533.33,26.67,533.33,0,533.33,316.08,316.08,0,0,40.73%,19059010,Goods,Cakes,Mousse & Cheese Cakes,"Non-vegetarian,Dessert",,,Blueberry Mousse Cheese,1/2 Kg,ea,
15058,Item,CAKE TOPPER RECTANGLE SHAPE,Sale,2,169.5,0,169.5,30.52,84.75,0,84.75,114.74,57.37,0,0,32.31%,95059090,Goods,Birthday Items,,"Vegetarian,Dessert",,,CAKE TOPPER RECTANGLE SHAPE,,ea,
15059,Item,HAPPY BIRTHDAY  CAKE TOPPER,Sale,8,554.26,0,554.26,99.74,69.28,0,69.28,391.2,48.9,0,0,29.42%,95059090,Goods,Birthday Items,,"Vegetarian,Dessert",,,HAPPY BIRTHDAY  CAKE TOPPER,,ea,
15061,Item,TWISTER COLOR CANDLES,Sale,1,58.1,0,58.1,2.91,58.1,0,58.1,44.05,44.05,0,0,24.18%,34060010,Goods,Birthday Items,,"Vegetarian,Dessert",,,TWISTER COLOR CANDLES,,ea,
15063,Item,HEART CANDLE 4 IN 1,Sale,4,361.92,0,361.92,18.08,90.48,0,90.48,244.96,61.24,0,0,32.32%,34060010,Goods,Birthday Items,,"Vegetarian,Dessert",,,HEART CANDLE 4 IN 1,,ea,
150EL,Item,Eggless Blueberry Mousse Cheese (1/2 Kg),Sale,3,1671.42,0,1671.42,83.58,557.14,0,557.14,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Blueberry Mousse Cheese,1/2 Kg,ea,
151,Item,Chocolate Chillz (1/2 Kg),Sale,2,914.28,0,914.28,45.72,457.14,0,457.14,20.34,10.17,0,0,97.78%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Chocolate Chillz,1/2 Kg,ea,
15101,Item,Star Candle,Sale,4,285.72,0,285.72,14.28,71.43,0,71.43,222.84,55.71,0,0,22.01%,34060090,Goods,Birthday Items,,"Vegetarian,Dessert",,,Star Candle,,ea,
15104,Item,3D Butterfly Decoration,Sale,1,89.83,0,89.83,16.17,89.83,0,89.83,74.92,74.92,0,0,16.60%,95051000,Goods,Birthday Items,,"Vegetarian,Dessert",,,3D Butterfly Decoration,,ea,
15105,Item,Cake Topper Boy,Sale,3,241.53,0,241.53,43.47,80.51,0,80.51,173.25,57.75,0,0,28.27%,95051000,Goods,Birthday Items,,"Vegetarian,Dessert",,,Cake Topper Boy,,ea,
15107,Item,Cake Topper Anniversary,Sale,2,152.54,0,152.54,27.46,76.27,0,76.27,111.28,55.64,0,0,27.05%,95051000,Goods,Birthday Items,,"Vegetarian,Dessert",,,Cake Topper Anniversary,,ea,
15109,Item,Golden Crown,Sale,2,179.66,0,179.66,32.34,89.83,0,89.83,129.84,64.92,0,0,27.73%,95051000,Goods,Birthday Items,,"Vegetarian,Dessert",,,Golden Crown,,ea,
1511,Item,Eggless Chocolate Mousse (1.5 Kg),Sale,1,1271.43,-127.14,1144.29,57.21,1271.43,-127.14,1144.29,766.03,766.03,0,0,33.06%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Mousse,1.5 Kg,ea,
15125,Item,Paper Boat Yummy Guava 125 ML,Sale,26,247.59,0,247.59,12.39,9.52,0,9.52,206.25,7.93,0,0,16.70%,22029930,Goods,Soft Drinks,,"Vegetarian,Beverage",,,Paper Boat Yummy Guava 125 ML,,ea,
15126,Item,Paper Boat Slurpy Mango 125 ML,Sale,29,276.12,0,276.12,13.85,9.52,0,9.52,222.75,7.68,0,0,19.33%,22029930,Goods,Soft Drinks,,"Vegetarian,Beverage",,,Paper Boat Slurpy Mango 125 ML,,ea,
15127,Item,Paper Boat Pulpy Orange 125 ML,Sale,5,47.62,0,47.62,2.38,9.52,0,9.52,41.25,8.25,0,0,13.38%,22029930,Goods,Soft Drinks,,"Vegetarian,Beverage",,,Paper Boat Pulpy Orange 125 ML,,ea,
15128,Item,Paper Boat Lush Lychee 125 ML,Sale,57,542.79,0,542.79,27.15,9.52,0,9.52,445.5,7.82,0,0,17.92%,22029930,Goods,Soft Drinks,,"Vegetarian,Beverage",,,Paper Boat Lush Lychee 125 ML,,ea,
15129,Item,Paper Boat Mixed Fruit Medley 125 ML,Sale,5,47.62,0,47.62,2.38,9.52,0,9.52,41.25,8.25,0,0,13.38%,22029930,Goods,Soft Drinks,,"Vegetarian,Beverage",,,Paper Boat Mixed Fruit Medley 125 ML,,ea,
15130,Item,Paper Boat Tasty Apple 125 ML,Sale,1,9.52,0,9.52,0.48,9.52,0,9.52,0,0,0,0,100%,22029930,Goods,Soft Drinks,,"Vegetarian,Beverage",,,Paper Boat Tasty Apple 125 ML,,ea,
15134,Item,Smoodh Chocolate - 80ml,Sale,63,599.95,0,599.95,30.03,9.52,0,9.52,416.58,6.61,0,0,30.56%,22029930,Goods,Soft Drinks,,"Vegetarian,Beverage",,,Smoodh Chocolate - 80ml,,ea,
15135,Item,Smoodh Caremel - 80ml,Sale,58,552.34,0,552.34,27.65,9.52,0,9.52,455.88,7.86,0,0,17.46%,22029930,Goods,Soft Drinks,,"Vegetarian,Beverage",,,Smoodh Caremel - 80ml,,ea,
15136,Item,Smoodh Hazelnut - 80ml,Sale,37,352.27,0,352.27,17.63,9.52,0,9.52,290.82,7.86,0,0,17.44%,22029930,Goods,Soft Drinks,,"Vegetarian,Beverage",,,Smoodh Hazelnut - 80ml,,ea,
1514,Item,Eggless Chocolate Truffle (1.5 Kg),Sale,2,2685.72,-83.93,2601.79,130.09,1342.86,-41.97,1300.9,1616.5,808.25,0,0,37.87%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Truffle,1.5 Kg,ea,
1516,Item,Eggless Chocolate Truffle (2 Kg),Sale,6,10742.88,0,10742.88,537.12,1790.48,0,1790.48,6386.4,1064.4,0,0,40.55%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Truffle,2 Kg,ea,
151OM,Item,Chocolate Chillz (1/2 Kg),Sale,1,457.14,0,457.14,22.86,457.14,0,457.14,277.65,277.65,0,0,39.26%,19059010,Goods,Online Menu,Something Special,"Non-vegetarian,Dessert",,,Chocolate Chillz,1/2 Kg,ea,
151SP,Item,Chocolate Chillz (Special cake 1/2 kg),Sale,1,552.38,0,552.38,27.62,552.38,0,552.38,0,0,0,0,100%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Chocolate Chillz,Special cake 1/2 kg,ea,
1522,Item,Eggless Chocolate Almond Pastry (2 Kg),Sale,1,1942.86,-97.14,1845.72,92.29,1942.86,-97.14,1845.72,1147.33,1147.33,0,0,37.84%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Chocolate Almond Pastry,2 Kg,ea,
1540,Item,Vanilla Almond Pastry (1.5 Kg),Sale,1,1271.43,0,1271.43,63.57,1271.43,0,1271.43,766.5,766.5,0,0,39.71%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Vanilla Almond Pastry,1.5 Kg,ea,
1543,Item,Vanilla Almond Pastry (2 Kg),Sale,1,1695.24,0,1695.24,84.76,1695.24,0,1695.24,990.26,990.26,0,0,41.59%,19059010,Goods,Cakes,Something Special,"Non-vegetarian,Dessert",,,Vanilla Almond Pastry,2 Kg,ea,
1547,Item,Black Currant (2 Kg),Sale,1,1619.05,0,1619.05,80.95,1619.05,0,1619.05,0,0,0,0,100%,19059010,Goods,Cakes,Premium Cakes,"Non-vegetarian,Dessert",,,Black Currant,2 Kg,ea,
1551,Item,Blueberry (2 Kg),Sale,1,1542.86,0,1542.86,77.14,1542.86,0,1542.86,0,0,0,0,100%,19059010,Goods,Cakes,Exotic Fruitz,"Non-vegetarian,Dessert",,,Blueberry,2 Kg,ea,
1566,Item,Eggless Black Forest (1.5 Kg),Sale,1,928.57,0,928.57,46.43,928.57,0,928.57,0,0,0,0,100%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Black Forest,1.5 Kg,ea,
159,Item,Eggless Fruit Truffle (2 Kg),Sale,1,1790.48,0,1790.48,89.52,1790.48,0,1790.48,106.28,106.28,0,0,94.06%,19059010,Goods,Eggless Cakes,,"Vegetarian,Dessert",,,Eggless Fruit Truffle,2 Kg,ea,
